codigo_postal,localidad,partido,provincia
6628,La Carlota,Alberti,Buenos Aires
6628,La Dormilona,Alberti,Buenos Aires
6628,Palemon Huergo,Alberti,Buenos Aires
6628,Villa Maria (Cnel. Segui, Pdo. Alberti),Alberti,Buenos Aires
6628,Villa Ortiz,Alberti,Buenos Aires
6634,Alberti,Alberti,Buenos Aires
6634,Andres Vaccarezza,Alberti,Buenos Aires
6634,Emita,Alberti,Buenos Aires
6634,Larrea,Alberti,Buenos Aires
6634,Pla,Alberti,Buenos Aires
1846,Adrogue,Alte. Brown,Buenos Aires
1846,Almirante Brown,Alte. Brown,Buenos Aires
1846,Barrio La Tablada,Alte. Brown,Buenos Aires
1846,Barrio Loma Verde,Alte. Brown,Buenos Aires
1846,Barrio San Jose (Alte. Brown, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1846,Barrio San Juan (Alte. Brown, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1846,Jose Marmol,Alte. Brown,Buenos Aires
1846,Martin Arin,Alte. Brown,Buenos Aires
1847,Barrio Asuncion,Alte. Brown,Buenos Aires
1847,Barrio Guadalupe (Rafael Calzada, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1847,Barrio La Gloria,Alte. Brown,Buenos Aires
1847,Barrio San Javier,Alte. Brown,Buenos Aires
1847,Barrio San Pedro (Rafael Calzada, Pdo.Alte.Brown),Alte. Brown,Buenos Aires
1847,Barrio Villa Laura,Alte. Brown,Buenos Aires
1847,Barrio Zabala,Alte. Brown,Buenos Aires
1847,Rafael Calzada,Alte. Brown,Buenos Aires
1847,Rafael Calzada Estafeta Nº1,Alte. Brown,Buenos Aires
1847,Villa Calzada,Alte. Brown,Buenos Aires
1847,Villa Laura (Rafael Calzada, Pdo.Alte.Brown),Alte. Brown,Buenos Aires
1849,Barrio El Patronato,Alte. Brown,Buenos Aires
1849,Barrio El Trebol,Alte. Brown,Buenos Aires
1849,Barrio La Jovita,Alte. Brown,Buenos Aires
1849,Barrio Las Malvinas,Alte. Brown,Buenos Aires
1849,Barrio Las Tunas,Alte. Brown,Buenos Aires
1849,Barrio Parque Mariano Moreno,Alte. Brown,Buenos Aires
1849,Barrio San Lucas,Alte. Brown,Buenos Aires
1849,Barrio Santa Clara,Alte. Brown,Buenos Aires
1849,Barrio Sanz,Alte. Brown,Buenos Aires
1849,Claypole,Alte. Brown,Buenos Aires
1849,Claypole Estafeta No.1,Alte. Brown,Buenos Aires
1852,Barrio Arzeno,Alte. Brown,Buenos Aires
1852,Barrio Doña Sol,Alte. Brown,Buenos Aires
1852,Barrio El Gaucho (Burzaco, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1852,Barrio El Hornero,Alte. Brown,Buenos Aires
1852,Barrio La Carlota,Alte. Brown,Buenos Aires
1852,Barrio La Cumbre (Burzaco, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1852,Barrio Sakura,Alte. Brown,Buenos Aires
1852,Burzaco,Alte. Brown,Buenos Aires
1852,Burzaco Estafeta No.1,Alte. Brown,Buenos Aires
1852,Burzaco Estafeta No.2,Alte. Brown,Buenos Aires
1852,Ministro Rivadavia,Alte. Brown,Buenos Aires
1854,Barrio Don Luis,Alte. Brown,Buenos Aires
1854,Barrio General Belgrano (Longchamps, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1854,Barrio Los Alamos,Alte. Brown,Buenos Aires
1854,Barrio Rayo De Sol (Longchamps, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1854,Longchamps,Alte. Brown,Buenos Aires
1854,Longchamps Estafeta No.2,Alte. Brown,Buenos Aires
1856,Barrio Almafuerte (Glew, Pdo. Alte. Brown),Alte. Brown,Buenos Aires
1856,Barrio Gorriti,Alte. Brown,Buenos Aires
1856,Barrio La Reforma,Alte. Brown,Buenos Aires
1856,Barrio Parque Ipona,Alte. Brown,Buenos Aires
1856,Barrio Parque Roma,Alte. Brown,Buenos Aires
1856,Glew,Alte. Brown,Buenos Aires
1856,Villa Paris,Alte. Brown,Buenos Aires
6064,Ameghino,Ameghino,Buenos Aires
6064,Eduardo Costa,Ameghino,Buenos Aires
6064,Halcey,Ameghino,Buenos Aires
6064,Salale,Ameghino,Buenos Aires
6064,Volta,Ameghino,Buenos Aires
6065,Blaquier,Ameghino,Buenos Aires
2740,Almacen La Colonia,Arrecifes,Buenos Aires
2740,Arrecifes,Arrecifes,Buenos Aires
2740,Cañada Marta,Arrecifes,Buenos Aires
2740,El Nacional,Arrecifes,Buenos Aires
2740,La Delia,Arrecifes,Buenos Aires
2740,La Nelida,Arrecifes,Buenos Aires
2740,Puente Cañete,Arrecifes,Buenos Aires
2740,Villa Sanguinetti,Arrecifes,Buenos Aires
2754,Campo Crisol,Arrecifes,Buenos Aires
2754,El Carmen (Viña, Pdo. Pergamino),Arrecifes,Buenos Aires
2754,San Juan (Viña, Pdo.Pergamino),Arrecifes,Buenos Aires
2754,San Ramon (Viña, Pdo. Pergamino),Arrecifes,Buenos Aires
2754,Todd,Arrecifes,Buenos Aires
2754,Viña,Arrecifes,Buenos Aires
1870,Avellaneda,Avellaneda,Buenos Aires
1870,Bullrich,Avellaneda,Buenos Aires
1870,Crucecita,Avellaneda,Buenos Aires
1870,Gerli Estafeta No.1,Avellaneda,Buenos Aires
1870,Gerli (Pdo. Avellaneda),Avellaneda,Buenos Aires
1870,Kilometro 5 (Estacion Fcgr.),Avellaneda,Buenos Aires
1870,La Mosca,Avellaneda,Buenos Aires
1870,Piñeyro (Pdo. De Avellaneda),Avellaneda,Buenos Aires
1870,Villa Castellino,Avellaneda,Buenos Aires
1870,Villa Echenagucia,Avellaneda,Buenos Aires
1870,Villa Mercado,Avellaneda,Buenos Aires
1870,Villa Modelo,Avellaneda,Buenos Aires
